id,name,path_name,updated_at
266,"音声認識ソフト","スマホ、タブレット、パソコン > ソフトウェア > 動画、画像、音楽ソフト > 音声認識ソフト",2014-09-03
267,"統計解析ソフト","スマホ、タブレット、パソコン > ソフトウェア > 業務管理、会計ソフト > 統計解析",2014-09-03
268,"経営分析ソフト","スマホ、タブレット、パソコン > ソフトウェア > 業務管理、会計ソフト > 経営分析",2014-09-03
269,PIM、スケジューラー,"スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > PIM、スケジューラー",2014-09-03
270,"顧客管理ソフト","スマホ、タブレット、パソコン > ソフトウェア > 業務管理、会計ソフト > 顧客管理",2014-09-03
271,"在庫管理ソフト","スマホ、タブレット、パソコン > ソフトウェア > 業務管理、会計ソフト > 在庫管理",2014-09-03
272,"確定申告、青色申告ソフト","スマホ、タブレット、パソコン > ソフトウェア > 業務管理、会計ソフト > 確定申告、青色申告",2014-09-03
273,"給与計算ソフト","スマホ、タブレット、パソコン > ソフトウェア > 業務管理、会計ソフト > 給与計算",2014-09-03
274,"生産管理ソフト","スマホ、タブレット、パソコン > ソフトウェア > 業務管理、会計ソフト > 生産管理",2014-09-03
275,"販売管理ソフト","スマホ、タブレット、パソコン > ソフトウェア > 業務管理、会計ソフト > 販売管理",2014-09-03
276,"表計算ソフト","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > 表計算",2014-09-10
277,"翻訳ソフト","スマホ、タブレット、パソコン > ソフトウェア > 生活、実用ソフト > 翻訳ソフト",2015-09-30
278,"ビジネスソフト その他","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > その他ビジネスソフト",2015-09-30
280,"教材作成ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 教材作成ソフト",2015-09-30
281,"小学生用国語、漢字学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 小学生用国語、漢字",2014-09-10
282,"小学生用算数学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 小学生用算数",2014-09-10
283,"小学生用理科学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 小学生用理科",2014-09-10
284,"小学生用社会、地理学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 小学生用社会、地理",2014-09-10
285,"小学生用生活科学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 小学生用生活科",2014-09-10
286,"小学生用学習ソフト その他","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > その他小学生学習ソフト",2015-09-30
287,"中学生用国語学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 中学生用国語",2014-09-10
288,"中学生用数学学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 中学生用数学",2014-09-10
289,"中学生用理科学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 中学生用理科",2014-09-10
290,"中学生用社会、地理学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 中学生用社会、地理",2014-09-10
291,"中学生用英語学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 中学生用英語",2014-09-10
